category,figure_type,source_name,source_url,pdf_or_page,chapter_or_figure,license_or_access,asset_path,status,notes
business-market,business-chart,IBCS International Business Communication Standards,https://www.ibcs.com/IBCS/,web,"IBCS SUCCESS rules; charts/labels/scenarios/variances",web reference only,,candidate,"Use as business chart notation baseline; do not screenshot until license/use is confirmed."
business-market,data-visualization-book,Edward Tufte - The Visual Display of Quantitative Information,https://www.edwardtufte.com/book/the-visual-display-of-quantitative-information/,book,"data-ink ratio; small multiples; graphical integrity",commercial book,,candidate,"Classic textbook; use as design baseline and manually cite, not for automatic copying."
business-market,data-viz-style-guide,Financial Times Visual Vocabulary,https://github.com/Financial-Times/chart-doctor/tree/main/visual-vocabulary,web/pdf,chart chooser examples,open web resource,,candidate,"Good chart type taxonomy for market/competitor charts; verify repo license before copying."
software-engineering,UML,OMG UML 2.5.1,https://www.omg.org/spec/UML,official PDF,"UML/2.5.1/PDF; diagram notation chapters",OMG specification,,candidate,"Primary UML baseline for use case, class, activity, state, sequence, component, deployment diagrams."
software-engineering,BPMN,OMG BPMN 2.0,https://www.omg.org/spec/BPMN/2.0/,official PDF,"BPMN/2.0/PDF plus non-normative examples PDF",OMG specification,,candidate,"Primary baseline for business process diagrams; examples PDF may be useful for screenshots after license review."
software-engineering,flowchart,ISO 5807:1985,https://www.iso.org/standard/11955.html,standard sample,"documentation symbols for data/program/system flowcharts",paid ISO standard,,candidate,"Official standard is paywalled; record only unless user provides authorized PDF or manual screenshot."
software-engineering,software-design-description,IEEE 1016-2009,https://standards.ieee.org/ieee/1016/4502,standard page,software design description views/viewpoints,paid IEEE standard,,candidate,"Use for design document viewpoint baseline; do not copy unofficial PDFs."
software-engineering,software-requirements,GB/T 9385-2008,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=2790825C43AD0B69E3C38C140BFFCFE6,official page,software requirements specification,official metadata page,,candidate,"Use to verify standard number/name/status; full screenshots require authorized source."
data-ai,data-mining-process,CRISP-DM 1.0 Step-by-step data mining guide,https://www.dataprix.com/files/CRISP-DM.pdf,PDF,"Figure 2: phases of the CRISP-DM reference model",public web PDF; license to verify,,candidate,"Strong baseline for data mining/data science lifecycle diagrams; verify PDF provenance before copying."
data-ai,data-mining-process,CRISP-DM Process Diagram Wikimedia,https://commons.wikimedia.org/wiki/File:CRISP-DM_Process_Diagram.png,image page,CRISP-DM process diagram,CC-BY-SA-3.0,,candidate,"Open image based on CRISP-DM guide; can be copied with attribution if license terms are followed."
data-ai,neural-network-diagram,Evidence-based guidance framework for neural network system diagrams,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0318800&type=printable,open article,NN diagram guidelines and examples,open-access article,,candidate,"Use for NN architecture diagram quality baseline."
data-ai,neural-network-diagram,NN-SVG JOSS paper,https://joss.theoj.org/papers/10.21105/joss.00747.pdf,open PDF,publication-ready NN schematics,open-access paper,,candidate,"Use as tooling/case baseline for simple neural network diagrams."
data-ai,neural-network-tool,PlotNeuralNet GitHub,https://github.com/HarisIqbal88/PlotNeuralNet,GitHub examples,network architecture examples,MIT license,,candidate,"Tooling baseline; generated diagrams should be project-specific and clearly marked as generated later."
ui-screenshots,figma-components,Figma components/styles/shared libraries best practices,https://www.figma.com/best-practices/components-styles-and-shared-libraries/,web,Figma components and device mockups guidance,Figma web guidance,,candidate,"Baseline for using reusable components and device mockups."
ui-screenshots,visual-presentation,ISO 9241-125:2017,https://www.iso.org/standard/64839.html,standard sample,visual presentation of information,paid ISO standard,,candidate,"High-level UI/information presentation baseline; does not specify chart details."
ui-screenshots,material-design,Material Design layout guidance,https://m2.material.io/design/layout/understanding-layout.html,web,layout and responsive presentation,Google official guidance,,candidate,"Use for UI layout/screenshots if using Material-like components."
ui-screenshots,fluent-design,Microsoft Fluent 2,https://fluent2.microsoft.design/,web,component and accessibility patterns,Microsoft official guidance,,candidate,"Use for admin/data-center style UI screenshots if Fluent-like components are chosen."
